Basic Parameters: 2024-09-21_14-38-07 model=cifar10-undefended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 94.75%
1: attack success rate=50.0%, average queries=1.1, median queries=1.0
2: attack success rate=54.3%, average queries=1.3, median queries=1.0
3: attack success rate=58.0%, average queries=1.4, median queries=1.0
4: attack success rate=61.5%, average queries=1.7, median queries=1.0
5: attack success rate=64.1%, average queries=1.8, median queries=1.0
6: attack success rate=66.6%, average queries=2.0, median queries=1.0
7: attack success rate=69.7%, average queries=2.3, median queries=1.0
8: attack success rate=71.2%, average queries=2.4, median queries=1.0
9: attack success rate=74.5%, average queries=2.8, median queries=1.0
10: attack success rate=76.3%, average queries=3.0, median queries=1.0
11: attack success rate=77.8%, average queries=3.1, median queries=1.0
12: attack success rate=79.0%, average queries=3.3, median queries=1.0
13: attack success rate=81.1%, average queries=3.6, median queries=1.0
14: attack success rate=82.0%, average queries=3.7, median queries=1.0
15: attack success rate=83.1%, average queries=3.8, median queries=1.0
16: attack success rate=84.2%, average queries=4.0, median queries=1.0
17: attack success rate=84.7%, average queries=4.1, median queries=1.0
18: attack success rate=85.3%, average queries=4.2, median queries=1.0
19: attack success rate=85.7%, average queries=4.3, median queries=1.0
20: attack success rate=86.4%, average queries=4.4, median queries=1.0
21: attack success rate=86.9%, average queries=4.5, median queries=1.0
22: attack success rate=87.8%, average queries=4.7, median queries=2.0
23: attack success rate=88.4%, average queries=4.8, median queries=2.0
24: attack success rate=89.0%, average queries=5.0, median queries=2.0
25: attack success rate=89.9%, average queries=5.2, median queries=2.0
26: attack success rate=90.0%, average queries=5.2, median queries=2.0
27: attack success rate=90.4%, average queries=5.3, median queries=2.0
28: attack success rate=90.8%, average queries=5.4, median queries=2.0
29: attack success rate=91.0%, average queries=5.5, median queries=2.0
30: attack success rate=92.0%, average queries=5.7, median queries=2.0
31: attack success rate=92.2%, average queries=5.8, median queries=2.0
32: attack success rate=92.6%, average queries=5.9, median queries=2.0
33: attack success rate=92.9%, average queries=6.0, median queries=2.0
34: attack success rate=93.4%, average queries=6.2, median queries=2.0
35: attack success rate=94.0%, average queries=6.4, median queries=2.0
36: attack success rate=94.5%, average queries=6.5, median queries=2.0
37: attack success rate=95.1%, average queries=6.7, median queries=2.0
38: attack success rate=95.3%, average queries=6.8, median queries=2.0
39: attack success rate=95.6%, average queries=6.9, median queries=2.0
40: attack success rate=96.0%, average queries=7.0, median queries=2.0
41: attack success rate=96.2%, average queries=7.1, median queries=2.0
42: attack success rate=96.5%, average queries=7.2, median queries=2.0
43: attack success rate=96.7%, average queries=7.3, median queries=2.0
44: attack success rate=96.7%, average queries=7.3, median queries=2.0
45: attack success rate=97.0%, average queries=7.4, median queries=2.0
46: attack success rate=97.2%, average queries=7.5, median queries=2.0
47: attack success rate=97.3%, average queries=7.5, median queries=2.0
48: attack success rate=97.3%, average queries=7.5, median queries=2.0
49: attack success rate=97.3%, average queries=7.5, median queries=2.0
50: attack success rate=97.5%, average queries=7.6, median queries=2.0
51: attack success rate=97.5%, average queries=7.6, median queries=2.0
52: attack success rate=97.5%, average queries=7.6, median queries=2.0
53: attack success rate=97.5%, average queries=7.6, median queries=2.0
54: attack success rate=97.5%, average queries=7.6, median queries=2.0
