Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
1: attack success rate=21.0%, average queries=1.1, median queries=1.0
2: attack success rate=24.7%, average queries=1.4, median queries=1.0
3: attack success rate=26.5%, average queries=1.6, median queries=1.0
4: attack success rate=28.7%, average queries=1.8, median queries=1.0
5: attack success rate=30.0%, average queries=2.0, median queries=1.0
6: attack success rate=32.0%, average queries=2.3, median queries=1.0
7: attack success rate=33.6%, average queries=2.6, median queries=1.0
8: attack success rate=34.7%, average queries=2.8, median queries=1.0
9: attack success rate=36.2%, average queries=3.1, median queries=1.0
10: attack success rate=37.7%, average queries=3.4, median queries=1.0
11: attack success rate=38.7%, average queries=3.6, median queries=2.0
12: attack success rate=40.2%, average queries=4.0, median queries=2.0
13: attack success rate=41.4%, average queries=4.3, median queries=2.0
14: attack success rate=41.7%, average queries=4.3, median queries=2.0
15: attack success rate=43.0%, average queries=4.7, median queries=3.0
16: attack success rate=44.4%, average queries=5.1, median queries=3.0
17: attack success rate=45.2%, average queries=5.3, median queries=3.0
18: attack success rate=46.0%, average queries=5.5, median queries=3.0
19: attack success rate=47.1%, average queries=5.9, median queries=3.0
20: attack success rate=48.0%, average queries=6.2, median queries=3.0
21: attack success rate=49.5%, average queries=6.6, median queries=4.0
22: attack success rate=50.8%, average queries=7.1, median queries=4.0
23: attack success rate=51.3%, average queries=7.2, median queries=4.0
24: attack success rate=52.0%, average queries=7.5, median queries=4.0
25: attack success rate=52.7%, average queries=7.7, median queries=4.0
26: attack success rate=53.8%, average queries=8.1, median queries=5.0
27: attack success rate=54.5%, average queries=8.4, median queries=5.0
28: attack success rate=54.6%, average queries=8.4, median queries=5.0
29: attack success rate=54.9%, average queries=8.5, median queries=5.0
30: attack success rate=55.2%, average queries=8.6, median queries=5.0
31: attack success rate=56.0%, average queries=9.0, median queries=5.0
32: attack success rate=56.4%, average queries=9.1, median queries=5.0
33: attack success rate=56.9%, average queries=9.4, median queries=5.0
34: attack success rate=57.3%, average queries=9.5, median queries=5.0
35: attack success rate=57.7%, average queries=9.7, median queries=6.0
36: attack success rate=57.7%, average queries=9.7, median queries=6.0
37: attack success rate=58.0%, average queries=9.9, median queries=6.0
38: attack success rate=58.5%, average queries=10.1, median queries=6.0
39: attack success rate=59.0%, average queries=10.4, median queries=6.0
40: attack success rate=59.1%, average queries=10.4, median queries=6.0
41: attack success rate=59.3%, average queries=10.5, median queries=6.0
42: attack success rate=59.9%, average queries=10.9, median queries=6.0
43: attack success rate=60.4%, average queries=11.1, median queries=7.0
44: attack success rate=60.6%, average queries=11.2, median queries=7.0
45: attack success rate=60.6%, average queries=11.2, median queries=7.0
46: attack success rate=61.2%, average queries=11.6, median queries=7.0
47: attack success rate=61.5%, average queries=11.8, median queries=7.0
48: attack success rate=61.9%, average queries=12.0, median queries=7.0
49: attack success rate=62.2%, average queries=12.2, median queries=7.0
50: attack success rate=62.4%, average queries=12.3, median queries=7.0
51: attack success rate=62.8%, average queries=12.6, median queries=7.0
52: attack success rate=62.9%, average queries=12.6, median queries=7.0
53: attack success rate=63.5%, average queries=13.0, median queries=7.0
54: attack success rate=64.4%, average queries=13.6, median queries=8.0
55: attack success rate=64.9%, average queries=13.9, median queries=8.0
56: attack success rate=65.1%, average queries=14.1, median queries=8.0
57: attack success rate=65.6%, average queries=14.4, median queries=8.0
58: attack success rate=65.8%, average queries=14.5, median queries=8.0
59: attack success rate=65.8%, average queries=14.5, median queries=8.0
60: attack success rate=65.9%, average queries=14.6, median queries=8.0
61: attack success rate=66.1%, average queries=14.8, median queries=8.0
