Basic Parameters: 2024-09-22_15-27-05 model=imagenet_inception dataset=imagenet n_ex=1000 eps=5.0 p=0.103 n_iter=10000
Clean accuracy: 76.10%
1: attack success rate=4.7%, average queries=1.0, median queries=1.0
2: attack success rate=5.6%, average queries=1.3, median queries=1.0
3: attack success rate=6.3%, average queries=1.6, median queries=1.0
4: attack success rate=6.9%, average queries=1.9, median queries=1.0
5: attack success rate=7.5%, average queries=2.2, median queries=1.0
6: attack success rate=7.9%, average queries=2.5, median queries=1.0
7: attack success rate=8.0%, average queries=2.5, median queries=1.0
8: attack success rate=8.6%, average queries=3.0, median queries=1.0
9: attack success rate=8.9%, average queries=3.2, median queries=1.0
10: attack success rate=9.3%, average queries=3.6, median queries=1.0
11: attack success rate=9.5%, average queries=3.7, median queries=3.0
12: attack success rate=10.0%, average queries=4.2, median queries=3.0
13: attack success rate=10.5%, average queries=4.7, median queries=3.0
14: attack success rate=11.0%, average queries=5.1, median queries=3.0
15: attack success rate=11.6%, average queries=5.7, median queries=4.0
16: attack success rate=11.7%, average queries=5.8, median queries=4.0
17: attack success rate=11.9%, average queries=6.0, median queries=4.0
18: attack success rate=12.3%, average queries=6.4, median queries=4.0
19: attack success rate=12.4%, average queries=6.5, median queries=4.0
20: attack success rate=12.9%, average queries=7.1, median queries=5.0
21: attack success rate=13.1%, average queries=7.3, median queries=5.0
22: attack success rate=13.2%, average queries=7.4, median queries=5.0
23: attack success rate=13.4%, average queries=7.7, median queries=5.0
24: attack success rate=13.8%, average queries=8.2, median queries=5.5
25: attack success rate=13.9%, average queries=8.3, median queries=6.0
26: attack success rate=14.4%, average queries=9.0, median queries=6.0
27: attack success rate=14.5%, average queries=9.1, median queries=6.0
28: attack success rate=15.1%, average queries=9.9, median queries=7.0
29: attack success rate=15.5%, average queries=10.4, median queries=7.0
30: attack success rate=15.8%, average queries=10.8, median queries=7.5
31: attack success rate=16.1%, average queries=11.2, median queries=9.0
32: attack success rate=16.6%, average queries=11.9, median queries=9.0
33: attack success rate=16.8%, average queries=12.1, median queries=9.0
34: attack success rate=16.8%, average queries=12.1, median queries=9.0
35: attack success rate=17.1%, average queries=12.5, median queries=9.0
36: attack success rate=17.1%, average queries=12.5, median queries=9.0
37: attack success rate=17.3%, average queries=12.8, median queries=10.0
38: attack success rate=17.4%, average queries=13.0, median queries=10.0
39: attack success rate=17.5%, average queries=13.1, median queries=10.0
40: attack success rate=17.9%, average queries=13.8, median queries=11.0
41: attack success rate=18.5%, average queries=14.7, median queries=11.0
42: attack success rate=18.7%, average queries=15.0, median queries=12.0
43: attack success rate=18.7%, average queries=15.0, median queries=12.0
44: attack success rate=18.8%, average queries=15.1, median queries=12.0
45: attack success rate=18.8%, average queries=15.1, median queries=12.0
46: attack success rate=19.1%, average queries=15.6, median queries=13.0
47: attack success rate=19.3%, average queries=16.0, median queries=13.0
48: attack success rate=19.6%, average queries=16.5, median queries=13.0
49: attack success rate=20.0%, average queries=17.1, median queries=13.5
50: attack success rate=20.2%, average queries=17.5, median queries=14.0
51: attack success rate=20.5%, average queries=18.0, median queries=14.0
52: attack success rate=20.5%, average queries=18.0, median queries=14.0
53: attack success rate=21.0%, average queries=18.8, median queries=14.5
54: attack success rate=21.1%, average queries=19.0, median queries=15.0
55: attack success rate=21.2%, average queries=19.2, median queries=15.0
56: attack success rate=21.5%, average queries=19.7, median queries=15.0
57: attack success rate=21.5%, average queries=19.7, median queries=15.0
58: attack success rate=21.7%, average queries=20.1, median queries=15.0
59: attack success rate=21.9%, average queries=20.4, median queries=15.0
60: attack success rate=22.2%, average queries=21.0, median queries=16.0
61: attack success rate=22.3%, average queries=21.2, median queries=16.0
62: attack success rate=22.6%, average queries=21.7, median queries=16.0
63: attack success rate=22.6%, average queries=21.7, median queries=16.0
64: attack success rate=22.7%, average queries=21.9, median queries=16.0
65: attack success rate=22.7%, average queries=21.9, median queries=16.0
66: attack success rate=22.9%, average queries=22.3, median queries=16.0
67: attack success rate=23.3%, average queries=23.1, median queries=17.0
68: attack success rate=23.3%, average queries=23.1, median queries=17.0
69: attack success rate=23.5%, average queries=23.5, median queries=18.0
70: attack success rate=23.6%, average queries=23.7, median queries=18.0
71: attack success rate=23.6%, average queries=23.7, median queries=18.0
72: attack success rate=23.7%, average queries=23.9, median queries=18.0
73: attack success rate=23.8%, average queries=24.1, median queries=18.5
74: attack success rate=24.0%, average queries=24.5, median queries=19.0
75: attack success rate=24.0%, average queries=24.5, median queries=19.0
76: attack success rate=24.0%, average queries=24.5, median queries=19.0
77: attack success rate=24.2%, average queries=25.0, median queries=19.0
78: attack success rate=24.6%, average queries=25.9, median queries=19.5
79: attack success rate=24.7%, average queries=26.1, median queries=20.0
80: attack success rate=25.0%, average queries=26.7, median queries=21.0
81: attack success rate=25.1%, average queries=27.0, median queries=21.0
82: attack success rate=25.2%, average queries=27.2, median queries=21.0
83: attack success rate=25.2%, average queries=27.2, median queries=21.0
84: attack success rate=25.3%, average queries=27.4, median queries=21.0
85: attack success rate=25.4%, average queries=27.6, median queries=21.0
86: attack success rate=25.6%, average queries=28.1, median queries=21.0
87: attack success rate=25.8%, average queries=28.6, median queries=21.5
88: attack success rate=25.9%, average queries=28.8, median queries=22.0
89: attack success rate=25.9%, average queries=28.8, median queries=22.0
90: attack success rate=26.0%, average queries=29.0, median queries=22.0
91: attack success rate=26.2%, average queries=29.5, median queries=22.5
92: attack success rate=26.6%, average queries=30.5, median queries=24.0
93: attack success rate=26.6%, average queries=30.5, median queries=24.0
94: attack success rate=26.7%, average queries=30.7, median queries=24.0
95: attack success rate=26.8%, average queries=31.0, median queries=24.5
96: attack success rate=26.8%, average queries=31.0, median queries=24.5
97: attack success rate=26.9%, average queries=31.2, median queries=25.0
98: attack success rate=27.1%, average queries=31.7, median queries=25.0
99: attack success rate=27.2%, average queries=32.0, median queries=25.0
100: attack success rate=27.3%, average queries=32.2, median queries=25.0
101: attack success rate=27.4%, average queries=32.5, median queries=25.0
102: attack success rate=27.4%, average queries=32.5, median queries=25.0
103: attack success rate=27.7%, average queries=33.2, median queries=26.0
104: attack success rate=28.0%, average queries=34.0, median queries=27.0
105: attack success rate=28.2%, average queries=34.5, median queries=27.0
106: attack success rate=28.3%, average queries=34.8, median queries=27.0
107: attack success rate=28.4%, average queries=35.0, median queries=27.0
108: attack success rate=28.7%, average queries=35.8, median queries=27.0
109: attack success rate=28.8%, average queries=36.1, median queries=27.5
110: attack success rate=28.9%, average queries=36.3, median queries=28.0
111: attack success rate=29.2%, average queries=37.1, median queries=29.0
112: attack success rate=29.2%, average queries=37.1, median queries=29.0
113: attack success rate=29.3%, average queries=37.4, median queries=29.0
114: attack success rate=29.3%, average queries=37.4, median queries=29.0
115: attack success rate=29.4%, average queries=37.6, median queries=29.0
116: attack success rate=29.8%, average queries=38.7, median queries=29.0
117: attack success rate=29.8%, average queries=38.7, median queries=29.0
118: attack success rate=29.9%, average queries=39.0, median queries=29.0
119: attack success rate=30.1%, average queries=39.5, median queries=29.0
120: attack success rate=30.3%, average queries=40.0, median queries=30.0
121: attack success rate=30.6%, average queries=40.9, median queries=30.0
122: attack success rate=30.6%, average queries=40.9, median queries=30.0
123: attack success rate=30.6%, average queries=40.9, median queries=30.0
124: attack success rate=30.6%, average queries=40.9, median queries=30.0
125: attack success rate=30.8%, average queries=41.4, median queries=30.0
126: attack success rate=30.9%, average queries=41.7, median queries=30.0
127: attack success rate=31.1%, average queries=42.2, median queries=31.0
128: attack success rate=31.2%, average queries=42.5, median queries=31.0
129: attack success rate=31.3%, average queries=42.8, median queries=31.0
130: attack success rate=31.4%, average queries=43.1, median queries=31.0
131: attack success rate=31.6%, average queries=43.6, median queries=31.5
132: attack success rate=31.8%, average queries=44.2, median queries=32.0
133: attack success rate=31.8%, average queries=44.2, median queries=32.0
134: attack success rate=32.0%, average queries=44.8, median queries=32.0
135: attack success rate=32.2%, average queries=45.3, median queries=32.5
136: attack success rate=32.3%, average queries=45.6, median queries=33.0
137: attack success rate=32.4%, average queries=45.9, median queries=33.0
138: attack success rate=32.4%, average queries=45.9, median queries=33.0
139: attack success rate=32.8%, average queries=47.1, median queries=33.0
140: attack success rate=33.0%, average queries=47.6, median queries=33.0
141: attack success rate=33.0%, average queries=47.6, median queries=33.0
142: attack success rate=33.1%, average queries=47.9, median queries=33.0
143: attack success rate=33.2%, average queries=48.2, median queries=33.5
144: attack success rate=33.3%, average queries=48.5, median queries=34.0
145: attack success rate=33.4%, average queries=48.8, median queries=34.0
146: attack success rate=33.5%, average queries=49.1, median queries=34.0
147: attack success rate=33.5%, average queries=49.1, median queries=34.0
148: attack success rate=33.6%, average queries=49.4, median queries=35.0
149: attack success rate=33.6%, average queries=49.4, median queries=35.0
150: attack success rate=33.8%, average queries=50.0, median queries=36.0
151: attack success rate=33.8%, average queries=50.0, median queries=36.0
152: attack success rate=33.8%, average queries=50.0, median queries=36.0
153: attack success rate=33.9%, average queries=50.3, median queries=36.0
154: attack success rate=33.9%, average queries=50.3, median queries=36.0
155: attack success rate=33.9%, average queries=50.3, median queries=36.0
156: attack success rate=34.0%, average queries=50.6, median queries=36.0
157: attack success rate=34.1%, average queries=50.9, median queries=36.0
158: attack success rate=34.3%, average queries=51.5, median queries=38.0
159: attack success rate=34.3%, average queries=51.5, median queries=38.0
160: attack success rate=34.3%, average queries=51.5, median queries=38.0
161: attack success rate=34.6%, average queries=52.5, median queries=38.5
162: attack success rate=34.7%, average queries=52.8, median queries=39.0
163: attack success rate=34.7%, average queries=52.8, median queries=39.0
164: attack success rate=35.0%, average queries=53.8, median queries=40.5
165: attack success rate=35.1%, average queries=54.1, median queries=41.0
166: attack success rate=35.2%, average queries=54.4, median queries=41.0
167: attack success rate=35.3%, average queries=54.7, median queries=41.0
168: attack success rate=35.3%, average queries=54.7, median queries=41.0
169: attack success rate=35.5%, average queries=55.4, median queries=41.0
170: attack success rate=35.5%, average queries=55.4, median queries=41.0
171: attack success rate=35.6%, average queries=55.7, median queries=41.0
172: attack success rate=35.7%, average queries=56.0, median queries=41.0
173: attack success rate=35.8%, average queries=56.4, median queries=41.5
174: attack success rate=35.9%, average queries=56.7, median queries=42.0
175: attack success rate=36.0%, average queries=57.0, median queries=42.0
176: attack success rate=36.0%, average queries=57.0, median queries=42.0
177: attack success rate=36.2%, average queries=57.7, median queries=42.0
178: attack success rate=36.5%, average queries=58.7, median queries=42.0
179: attack success rate=36.6%, average queries=59.0, median queries=42.0
180: attack success rate=36.8%, average queries=59.7, median queries=42.0
181: attack success rate=37.0%, average queries=60.4, median queries=42.5
182: attack success rate=37.2%, average queries=61.0, median queries=43.0
183: attack success rate=37.2%, average queries=61.0, median queries=43.0
184: attack success rate=37.5%, average queries=62.0, median queries=45.0
185: attack success rate=37.5%, average queries=62.0, median queries=45.0
186: attack success rate=37.5%, average queries=62.0, median queries=45.0
187: attack success rate=37.9%, average queries=63.3, median queries=47.0
188: attack success rate=37.9%, average queries=63.3, median queries=47.0
189: attack success rate=37.9%, average queries=63.3, median queries=47.0
190: attack success rate=37.9%, average queries=63.3, median queries=47.0
191: attack success rate=38.0%, average queries=63.7, median queries=47.0
192: attack success rate=38.1%, average queries=64.0, median queries=47.0
193: attack success rate=38.1%, average queries=64.0, median queries=47.0
194: attack success rate=38.3%, average queries=64.7, median queries=48.0
195: attack success rate=38.4%, average queries=65.0, median queries=48.0
196: attack success rate=38.6%, average queries=65.7, median queries=48.5
197: attack success rate=38.7%, average queries=66.1, median queries=49.0
198: attack success rate=38.9%, average queries=66.8, median queries=49.0
199: attack success rate=38.9%, average queries=66.8, median queries=49.0
200: attack success rate=38.9%, average queries=66.8, median queries=49.0
201: attack success rate=39.2%, average queries=67.8, median queries=49.5
202: attack success rate=39.2%, average queries=67.8, median queries=49.5
203: attack success rate=39.3%, average queries=68.1, median queries=50.0
204: attack success rate=39.3%, average queries=68.1, median queries=50.0
205: attack success rate=39.4%, average queries=68.5, median queries=50.0
206: attack success rate=39.5%, average queries=68.8, median queries=50.0
207: attack success rate=39.6%, average queries=69.2, median queries=50.0
208: attack success rate=39.6%, average queries=69.2, median queries=50.0
209: attack success rate=39.7%, average queries=69.5, median queries=50.0
210: attack success rate=39.8%, average queries=69.9, median queries=50.0
211: attack success rate=39.9%, average queries=70.3, median queries=50.0
212: attack success rate=40.0%, average queries=70.6, median queries=50.5
213: attack success rate=40.0%, average queries=70.6, median queries=50.5
214: attack success rate=40.1%, average queries=71.0, median queries=51.0
215: attack success rate=40.1%, average queries=71.0, median queries=51.0
216: attack success rate=40.1%, average queries=71.0, median queries=51.0
217: attack success rate=40.1%, average queries=71.0, median queries=51.0
218: attack success rate=40.1%, average queries=71.0, median queries=51.0
