Basic Parameters: 2024-09-23_10-14-48 model=imagenet_resnet dataset=imagenet n_ex=1000 eps=5.0 p=0.105 n_iter=10000
Clean accuracy: 79.70%
1: attack success rate=7.3%, average queries=1.1, median queries=1.0
2: attack success rate=8.9%, average queries=1.4, median queries=1.0
3: attack success rate=9.2%, average queries=1.5, median queries=1.0
4: attack success rate=10.2%, average queries=1.8, median queries=1.0
5: attack success rate=10.5%, average queries=2.0, median queries=1.0
6: attack success rate=11.2%, average queries=2.3, median queries=1.0
7: attack success rate=12.0%, average queries=2.6, median queries=1.0
8: attack success rate=12.7%, average queries=3.0, median queries=1.0
9: attack success rate=13.0%, average queries=3.2, median queries=1.0
10: attack success rate=13.9%, average queries=3.7, median queries=2.0
11: attack success rate=14.2%, average queries=3.8, median queries=2.0
12: attack success rate=14.7%, average queries=4.2, median queries=3.0
13: attack success rate=15.2%, average queries=4.5, median queries=3.0
14: attack success rate=15.5%, average queries=4.7, median queries=3.0
15: attack success rate=16.0%, average queries=5.0, median queries=3.0
16: attack success rate=16.2%, average queries=5.2, median queries=3.0
17: attack success rate=16.4%, average queries=5.3, median queries=3.0
18: attack success rate=16.6%, average queries=5.5, median queries=3.0
19: attack success rate=17.0%, average queries=5.8, median queries=3.0
20: attack success rate=17.5%, average queries=6.3, median queries=3.0
21: attack success rate=17.5%, average queries=6.3, median queries=3.0
22: attack success rate=17.8%, average queries=6.6, median queries=3.5
23: attack success rate=17.9%, average queries=6.7, median queries=4.0
24: attack success rate=18.0%, average queries=6.8, median queries=4.0
25: attack success rate=18.7%, average queries=7.5, median queries=5.0
26: attack success rate=19.1%, average queries=7.9, median queries=5.0
27: attack success rate=19.2%, average queries=8.0, median queries=5.0
28: attack success rate=19.2%, average queries=8.0, median queries=5.0
29: attack success rate=19.2%, average queries=8.0, median queries=5.0
30: attack success rate=19.5%, average queries=8.3, median queries=5.0
31: attack success rate=19.6%, average queries=8.5, median queries=5.0
32: attack success rate=20.1%, average queries=9.1, median queries=5.0
33: attack success rate=20.2%, average queries=9.2, median queries=5.0
34: attack success rate=20.4%, average queries=9.5, median queries=5.5
35: attack success rate=20.8%, average queries=10.0, median queries=6.0
36: attack success rate=20.8%, average queries=10.0, median queries=6.0
37: attack success rate=21.1%, average queries=10.4, median queries=7.0
38: attack success rate=21.4%, average queries=10.8, median queries=7.0
39: attack success rate=21.8%, average queries=11.3, median queries=7.0
40: attack success rate=22.0%, average queries=11.6, median queries=7.0
41: attack success rate=22.3%, average queries=12.0, median queries=7.0
42: attack success rate=22.5%, average queries=12.3, median queries=8.0
43: attack success rate=22.5%, average queries=12.3, median queries=8.0
44: attack success rate=22.8%, average queries=12.7, median queries=8.0
45: attack success rate=23.0%, average queries=13.0, median queries=8.0
46: attack success rate=23.3%, average queries=13.4, median queries=8.0
47: attack success rate=23.4%, average queries=13.6, median queries=8.0
48: attack success rate=23.6%, average queries=13.9, median queries=8.0
49: attack success rate=24.0%, average queries=14.5, median queries=8.5
50: attack success rate=24.0%, average queries=14.5, median queries=8.5
51: attack success rate=24.3%, average queries=14.9, median queries=9.0
52: attack success rate=24.6%, average queries=15.4, median queries=9.0
53: attack success rate=24.9%, average queries=15.9, median queries=9.0
54: attack success rate=25.0%, average queries=16.0, median queries=9.0
55: attack success rate=25.3%, average queries=16.5, median queries=9.0
56: attack success rate=25.5%, average queries=16.8, median queries=10.0
57: attack success rate=25.7%, average queries=17.1, median queries=10.0
58: attack success rate=25.8%, average queries=17.3, median queries=10.0
59: attack success rate=26.1%, average queries=17.8, median queries=11.0
60: attack success rate=26.3%, average queries=18.1, median queries=11.0
61: attack success rate=26.6%, average queries=18.6, median queries=11.0
62: attack success rate=26.6%, average queries=18.6, median queries=11.0
63: attack success rate=27.1%, average queries=19.4, median queries=11.0
64: attack success rate=27.3%, average queries=19.8, median queries=11.0
